geo_id,obs_use_case_coursework_pct,obs_use_case_personal_pct,obs_use_case_work_pct,exp_use_case_coursework_pct,exp_use_case_personal_pct,exp_use_case_work_pct,dissimilarity
AK,3.48,54.88,41.64,8.953315890645026,48.16920226398976,42.87782678342589,6.710970205040578
AL,5.62,53.81,40.57,8.815916336683927,49.514965986394564,41.66977764240023,4.295363996344795
AR,6.31,52.53,41.16,8.981631054131055,49.155373422873424,41.863547008547016,3.374902319902326
AZ,7.15,49.09,43.76,8.869619124797408,49.671118314424646,41.45973156401946,2.300502937601296
CA,10.7,47.77,41.52,9.073606690319313,49.40723365433351,41.519602635580334,1.6320121642169312
CO,5.46,50.67,43.88,8.66109166329421,49.98388607851072,41.35552509105625,3.205840246863621
CT,10.7,50.36,38.93,9.115560064935067,50.23330255681821,40.651567573051956,1.7163524756493391
DC,12.9,42.68,44.42,9.522411520129806,48.64199269850928,41.83587668593449,5.961852246222493
DE,8.91,55.22,35.87,8.981571283095724,50.57911914460285,40.439690427698565,4.64107128309572
FL,5.51,46.61,47.88,8.52468128093747,49.02728659460551,42.44854732801296,5.431710273765015
GA,6.98,49.81,43.21,8.921622744780054,49.37958240421651,41.69931583215081,1.9413622542063704
HI,6.72,50.88,42.4,9.08263661341203,49.8255123638954,41.09222346596112,2.3624503917777564
IA,14.61,47.73,37.65,9.699694632942627,48.65997738021798,41.64078038247995,4.915531564877655
ID,6.76,48.76,44.48,8.898786328284896,48.84125051166599,42.26042161277119,2.2198076135898477
IL,11.49,50.62,37.89,9.047933360588717,49.95732624693376,40.99523201144726,3.1049862019623884
IN,11.5,51.29,37.21,9.207812729369818,49.3397798049701,41.45280276816608,4.24260511691308
KS,9.71,53.07,37.22,9.067584338581069,49.671953588223275,41.2608771212431,4.040669597219378
KY,6.76,53.2,40.04,8.94511088504578,48.9052512716175,42.150018311291966,4.294938962360124
LA,8.94,50.4,40.66,9.198964115075736,49.41259428687608,41.38879028158992,0.9875800548947895
MA,12.48,48.46,39.05,9.306867653019859,49.533877178759624,41.15965443858938,3.178331982164573
MD,10.61,49.56,39.83,9.199713298088655,49.604831232208205,41.1959139894266,1.4105159617730747
ME,8.78,51.34,39.89,9.231465338314656,49.67908468244085,41.08982772934828,1.6561041926110436
MI,6.72,53.28,40.0,8.77363599431241,49.93085821653463,41.29595571805809,3.349366747917935
MN,7.62,54.14,38.24,8.897003954172161,50.35181891919296,40.75175909966542,3.7884720673223113
MO,6.59,52.6,40.81,8.878031056531007,49.518537501268675,41.603921648228976,3.081707601745654
MS,9.4,49.51,41.08,9.189209283220377,48.19762168823167,42.61362600123229,1.5283975148901217
MT,5.9,47.99,46.11,9.154180737961227,47.83648738795082,43.009829059829066,3.2539321450906717
NC,7.2,51.3,41.5,8.838524673219169,49.48585773634613,41.67611713446145,1.8143920356672445
ND,11.96,49.71,38.33,9.385377428601764,48.31209470219769,42.30278373500371,3.9726558021021283
NE,7.32,54.72,37.96,8.865066310270384,50.453577670401984,40.681871080497594,4.266679860182996
NH,12.14,47.84,40.02,9.104162022703823,49.103750257997945,41.79257688338494,3.036082559339527
NJ,9.79,48.55,41.66,9.063958481734003,49.56802889996949,41.36846646992981,1.0178019741528397
NM,8.75,52.89,38.36,9.339457491539328,49.15111885960413,41.50969336478309,3.739015998359143
NV,7.81,48.98,43.21,8.867754667207796,49.280811688311694,41.851785714285725,1.3583903206168846
NY,10.48,49.31,40.21,9.086025342118601,50.02327318803852,40.8910724784592,1.3941601621895598
OH,7.29,52.75,39.95,8.810908169470911,49.57785221974458,41.61174133387391,3.1773986418001194
OK,7.42,54.0,38.58,8.891122853368561,49.708115028960485,41.401232598313186,4.292120211360632
OR,9.3,52.87,37.82,9.031451350802357,50.052801137517775,40.916197440585,3.0909724761324338
PA,10.18,51.75,38.07,9.049218972171442,49.95495124923828,40.996288848263255,2.9260593134267676
RI,13.55,46.28,40.16,9.582042002242838,48.63007034356204,41.788179223162416,3.97310378224081
SC,5.28,47.67,47.05,9.076611955420468,48.41483890577507,42.509047619047614,4.541201621073959
SD,8.45,45.78,45.78,9.233837878952516,47.90622949038358,42.860298815603606,2.9148842768662453
TN,5.77,50.67,43.56,8.699665687367034,49.23084591226825,42.070075980143855,2.9293718974774663
TX,7.18,49.66,43.16,8.754363986226455,49.51466983998379,41.73151812841807,1.5740880089122964
VA,10.28,49.59,40.13,9.164859898477157,49.31308629441626,41.522563451776655,1.3923086294416196
VT,11.25,47.64,41.11,9.37037506659563,48.477887053809276,42.15204688332445,1.8797794352690493
WA,9.5,54.28,36.22,8.967786918545606,50.384353036766214,40.648381068454206,4.428120556571194
WI,9.94,54.17,35.89,9.0636,50.33389035532996,40.60311370558375,4.712811675126895
WV,8.91,50.24,40.85,9.391267022551478,48.622987253513465,41.98600501143916,1.6171423902385875
WY,7.28,53.47,39.26,8.83981649347778,49.38691797479549,41.773598275480865,4.078248397081579
