state,aui,log_aui,tech,resid,bachelors_plus,median_age,broadband,log_gdp
AK,0.51,-0.6733445532637656,1.9724425403809416,0.07739464111949201,32.23518502020685,36.5,93.06380304278098,11.922764916705637
AL,0.47,-0.7550225842780328,2.7432819206411305,-0.2300396536123478,28.889669436722325,39.6,89.44956118437568,11.4974612400688
AR,0.39,-0.941608539858445,2.2178021752737633,-0.2627279918533918,26.176781086431205,38.9,88.3805361631509,11.480746913675384
AZ,0.95,-0.05129329438755058,3.702459079507537,0.19277475676610734,33.51516255314787,39.3,92.31919763716309,11.655546914204145
CA,1.62,0.4824261492442928,4.3867768886934195,0.5260775691860717,37.487788587830714,38.2,94.19941114537596,11.971942803168192
CO,1.41,0.34358970439007686,5.316728083373577,0.11488567321333432,46.43288724422466,37.9,94.49313726984045,11.84787078980483
CT,1.07,0.06765864847381486,3.652464671929941,0.32636859643570526,42.90423692596884,41.5,92.56484373538171,11.94802956214914
DC,3.32,1.199964782928397,7.891786105472988,0.21710172353892654,65.94418525674078,34.9,92.13351540160096,12.833789349305954
DE,1.05,0.04879016416943205,4.023762266298388,0.19875792824905913,36.46324240149735,42.0,92.77923931192484,11.983740050796722
FL,1.05,0.04879016416943205,3.2043495621876223,0.43873989499849886,34.91620625422075,42.8,92.91431501732802,11.672464741347582
GA,0.93,-0.07257069283483537,4.13101597776811,0.04598560240795828,35.41558613658026,37.9,92.37080791048396,11.702372010109087
HI,1.14,0.131028262406404,2.5738393465451797,0.7056359572216294,36.99971802044498,41.4,92.61649166427075,11.8195542619943
IA,0.41,-0.8915981192837836,3.000640762144256,-0.4419880509552788,31.549672848125365,39.1,89.93212153662424,11.747294502190202
ID,0.68,-0.3856624808119846,2.770862104137762,0.13124302239177832,32.14258361772653,37.8,92.81248806672812,11.526051686209732
IL,1.0,0.0,4.0614270839752065,0.13893684281370522,38.27775836425594,39.5,91.64663888148336,11.835734834592673
IN,0.61,-0.4942963218147801,2.7700215220106106,0.022855363259334904,30.214670951273792,38.3,90.8075158237325,11.69112421239755
KS,0.48,-0.7339691750802004,3.1584475562621104,-0.33057609195199755,35.81915826795321,37.9,91.62748035074138,11.746536279190936
KY,0.39,-0.941608539858445,2.2718444925897474,-0.2785554027931104,27.84642492215848,39.2,90.05207695498983,11.521436055464946
LA,0.48,-0.7339691750802004,1.998819271188001,0.009045047864680522,26.99152049393904,38.7,88.010458499985,11.637332720599437
MA,1.42,0.35065687161316933,4.861887782674786,0.255162234641581,47.78163561635906,40.3,93.87993647946578,12.02205146543397
MD,1.09,0.08617769624105241,6.492648154618556,-0.48691886146328034,43.746985123,39.8,92.91324120492386,11.81579957541326
ME,0.65,-0.4307829160924542,2.948663675105128,0.034049717752767994,36.99449714274719,44.9,91.81995990812956,11.633331199415847
MI,0.61,-0.4942963218147801,3.261374618313053,-0.12104755870847905,32.675642878506636,40.5,91.56976383273906,11.606649986480592
MN,0.81,-0.21072103131565253,3.987278238505144,-0.05006816472194439,39.98924287879845,39.1,92.16756979942264,11.822675419561335
MO,0.7,-0.35667494393873245,3.6474840054047895,-0.09650630471853883,33.22479152029813,39.3,90.74182666861222,11.6485870945269
MS,0.28,-1.2729656758128873,1.5331400742477836,-0.39356766360604933,25.537093963225963,39.3,86.53422674279561,11.347347425203626
MT,0.58,-0.5447271754416722,2.6991030847908504,-0.006805558491453145,34.621691409759435,40.6,90.9228176210224,11.587622888274131
NC,0.88,-0.12783337150988489,3.980825774270928,0.03470923275757337,36.79334714470097,39.4,91.53061612427432,11.68736901275125
ND,0.37,-0.9942522733438669,2.398394404803129,-0.3682618968051631,33.552305165709626,36.3,89.02203461525947,11.928256132314363
NE,0.63,-0.4620354595965587,2.9114296087550353,0.013701941074888535,35.2863959805576,37.4,92.07127972241062,11.904937242166904
NH,0.88,-0.12783337150988489,4.725593832912027,-0.18341150492224262,40.74832802277478,43.4,93.85909923387996,11.806319034582089
NJ,1.02,0.01980262729617973,4.871502589590858,-0.07850790484283723,43.77591063603724,40.4,94.04675540779498,11.838641003608895
NM,0.49,-0.7133498878774648,2.7399833275296253,-0.18740089596030796,31.64805986443761,39.9,88.60445025566789,11.570581320878922
