state,usage_count,usage_pct,aui,automation_pct,wave
AK,139.0,0.0667627281460134,0.3136455649227586,49.137931034482754,2025-08
AL,1234.0,0.5926993275696446,0.3963800287006222,49.331103678929765,2025-08
AR,662.0,0.3179634966378482,0.3559565309798594,46.18973561430793,2025-08
AZ,3189.0,1.531700288184438,0.6980118332309821,48.157641781480294,2025-08
CA,52617.0,25.272334293948127,2.126665498802744,50.351793287735035,2025-08
CO,4927.0,2.366474543707973,1.3043920503162054,46.06274672761271,2025-08
CT,1966.0,0.9442843419788663,0.8704291660918975,45.18479958355023,2025-08
DC,1811.0,0.8698366954851106,3.8194718815935618,43.48072562358277,2025-08
DE,444.0,0.2132564841498559,0.7215895102511056,52.78450363196126,2025-08
FL,9633.0,4.626801152737752,0.694255522529669,50.0,2025-08
GA,5553.0,2.6671469740634004,0.7969123844249343,49.521178637200734,2025-08
HI,685.0,0.3290105667627281,0.8436003713400413,48.51190476190476,2025-08
IA,744.0,0.3573487031700288,0.3834677535905934,50.0,2025-08
ID,607.0,0.2915465898174831,0.503002794368721,45.31772575250836,2025-08
IL,6924.0,3.325648414985591,0.8811237163626064,46.70623145400594,2025-08
IN,1831.0,0.8794428434197886,0.4348039897157123,45.540691192865104,2025-08
KS,919.0,0.441402497598463,0.5183784141223926,45.73643410852713,2025-08
KY,961.0,0.4615754082612872,0.3466248935539725,51.38297872340426,2025-08
LA,1037.0,0.4980787704130644,0.3754584759332098,47.63779527559055,2025-08
MA,6373.0,3.0609990393852065,1.4234039277139832,45.25488938762424,2025-08
MD,3767.0,1.809317963496638,0.984597447574848,47.49864056552474,2025-08
ME,610.0,0.2929875120076849,0.7312351247453751,45.39363484087102,2025-08
MI,3148.0,1.5120076849183477,0.5127367276389831,48.91550663645193,2025-08
MN,2717.0,1.3049951969260327,0.7748942666348392,48.645598194130926,2025-08
MO,3709.0,1.7814601344860712,0.9866031486526072,49.70430864545198,2025-08
MS,379.0,0.1820365033621517,0.2137040956845211,49.45355191256831,2025-08
MT,347.0,0.1666666666666666,0.5155848387225673,49.544072948328264,2025-08
NC,5169.0,2.482708933717579,0.7685642805938462,46.27722772277228,2025-08
ND,183.0,0.0878962536023054,0.3852991243345701,55.95238095238096,2025-08
NE,616.0,0.2958693563880883,0.5152675263175608,50.0,2025-08
NH,736.0,0.3535062439961575,0.853436852915324,46.83195592286501,2025-08
NJ,4937.0,2.371277617675312,0.8464216079702884,48.49005646943285,2025-08
NM,663.0,0.3184438040345821,0.5237041605533537,44.97681607418856,2025-08
NV,2184.0,1.0489913544668588,1.080031690429606,48.560641812175554,2025-08
NY,19274.0,9.257444764649374,1.5760184933238062,45.8578158911651,2025-08
OH,3588.0,1.723342939481268,0.5011465126496323,47.80990552533639,2025-08
OK,887.0,0.4260326609029778,0.3582911393837469,49.59443800695249,2025-08
OR,2676.0,1.2853025936599425,1.0193010648621166,45.3184957789716,2025-08
PA,5262.0,2.527377521613833,0.6671707647604618,46.32538297459764,2025-08
RI,527.0,0.2531219980787704,0.7639645348007197,47.38878143133462,2025-08
SC,1379.0,0.6623439000960615,0.4216480893338432,51.4792899408284,2025-08
SD,140.0,0.0672430355427473,0.2591818430681677,63.49206349206349,2025-08
TN,2376.0,1.1412103746397697,0.5372917845688571,46.99828473413379,2025-08
TX,13896.0,6.67435158501441,0.7092668371335306,47.53808787811879,2025-08
UT,8340.0,4.0057636887608075,3.782670557286112,73.39932339305851,2025-08
VA,8420.0,4.04418828049952,1.569808047970331,50.28543665735455,2025-08
VT,430.0,0.2065321805955811,1.0998703556170335,43.60189573459716,2025-08
WA,7451.0,3.578770413064361,1.5094838436735678,44.169416941694166,2025-08
WI,1750.0,0.8405379442843419,0.4844873987423783,46.37002341920375,2025-08
WV,246.0,0.1181556195965417,0.2343635744496908,50.44642857142857,2025-08
WY,135.0,0.0648414985590778,0.385973352803329,53.278688524590166,2025-08
AK,199.0,0.09059208070434205,0.4255897290579842,43.40659340659341,2025-11
AL,1384.0,0.6300474356523085,0.4213533067910866,47.28506787330317,2025-11
AR,772.0,0.35144264474247267,0.39343227845609885,44.45945945945947,2025-11
AZ,3649.0,1.6611583039705735,0.7569999324142583,42.78846153846153,2025-11
CA,38616.0,17.579416022506898,1.479292651732365,40.34127495170638,2025-11
CO,5603.0,2.550690593901651,1.4059177529408833,43.525969275786395,2025-11
CT,2185.0,0.9946919414019466,0.9168854353449056,42.42424242424242,2025-11
DC,2003.0,0.9118388826673223,4.0038659385426305,40.526587506453275,2025-11
DE,461.0,0.20986406635528482,0.7101038674180726,43.87527839643652,2025-11
FL,11777.0,5.361321278668524,0.8044631760903189,45.41067041067041,2025-11
GA,6434.0,2.9289921972449084,0.875140273998745,44.62451861360719,2025-11
HI,721.0,0.3282255788333197,0.8415795366498021,39.142857142857146,2025-11
IA,892.0,0.40607103511695025,0.4357470740216188,44.31554524361949,2025-11
ID,711.0,0.3236732129687799,0.5584252133584913,46.666666666666664,2025-11
IL,8130.0,3.7010734478708582,0.9805823879580309,43.250095069083535,2025-11
IN,2658.0,1.2100188467946793,0.5982378185889988,44.47900466562986,2025-11
KS,1109.0,0.504857374377464,0.5928934532855998,43.25581395348838,2025-11
KY,1119.0,0.5094097402420038,0.3825429120129613,44.83394833948339,2025-11
LA,1245.0,0.5667695501352052,0.4272344054122736,45.97116200169636,2025-11
MA,7572.0,3.447051432629537,1.6029078585436154,40.176750509857236,2025-11
MD,4220.0,1.9210983948357963,1.0454162530552777,40.94238281250001,2025-11
ME,517.0,0.23535731519670772,0.5873966481556898,38.235294117647065,2025-11
MI,3951.0,1.7986397530796756,0.6099306315234202,42.52753015207132,2025-11
MN,2739.0,1.2468930102974516,0.7403866048732805,42.98711144806671,2025-11
MO,2507.0,1.1412781222401283,0.632053308788927,44.29697221070096,2025-11
MS,557.0,0.25356677865486693,0.29767512332314133,48.603351955307254,2025-11
MT,384.0,0.17481084919832837,0.5407737461427444,46.575342465753415,2025-11
NC,6143.0,2.7965183505868,0.8657009440630008,42.059219380888294,2025-11
ND,207.0,0.09423397339597389,0.41307697611011,47.97979797979798,2025-11
NE,743.0,0.33824078373530725,0.5890532898033137,43.11543810848401,2025-11
NH,815.0,0.3710178179599938,0.8957047933936009,38.742138364779876,2025-11
NJ,5169.0,2.3531179153806234,0.8399314791243873,40.70972886762361,2025-11
NM,553.0,0.251745832309051,0.4140104835894117,43.12267657992565,2025-11
NV,1843.0,0.8390010288346853,0.8638193165244816,45.22328999434709,2025-11
NY,34579.0,15.741625922992178,2.6798815310822737,58.19809569435296,2025-11
OH,4438.0,2.020339970682764,0.5875073274072844,44.532896277218455,2025-11
OK,1246.0,0.5672247867216593,0.47702836307784524,42.809642560266006,2025-11
OR,3069.0,1.397121083827265,1.1079673654441742,39.68307484828051,2025-11
PA,6628.0,3.0173080950169804,0.7964937546153572,41.6070873484613,2025-11
RI,673.0,0.3063742226835286,0.9246797744886166,43.247344461305005,2025-11
SC,1553.0,0.7069824187630311,0.45006064440147425,46.572580645161295,2025-11
SD,253.0,0.11517485637285696,0.44392619330080063,49.12280701754386,2025-11
TN,3031.0,1.3798220935420138,0.6496260197239649,43.89574759945131,2025-11
TX,15636.0,7.118079265794433,0.7564134141335714,42.181938035596566,2025-11
UT,2489.0,1.1330838636839564,1.069968707682834,41.846921797004995,2025-11
VA,7607.0,3.4629847131554268,1.3441928699947703,45.56616643929058,2025-11
VT,467.0,0.2125954858740087,1.1321491197896707,37.38938053097345,2025-11
WA,7069.0,3.218067429643186,1.3573304708628169,39.08096280087528,2025-11
WI,2297.0,1.0456784390847924,0.602724914051101,41.995464852607704,2025-11
WV,278.0,0.12655577103420648,0.25102299872946304,48.68913857677902,2025-11
WY,765.0,0.34825598863729484,2.072997128698581,74.36332767402376,2025-11
AK,241.0,0.10837695393304914,0.5091407339569507,48.30508474576271,2026-02
AL,1633.0,0.7343550446998722,0.491110524277671,46.36306135357369,2026-02
AR,809.0,0.3638047955677873,0.40727143326153076,46.094750320102435,2026-02
AZ,4205.0,1.8909754825247784,0.861729017064008,42.874753451676526,2026-02
CA,41038.0,18.454661558109834,1.552943806447705,38.99009751303954,2026-02
CO,6009.0,2.702228697857644,1.489444195194642,40.698271435906214,2026-02
CT,2501.0,1.1246919576205638,1.036716627801793,41.66325276526015,2026-02
DC,2184.0,0.9821380389617398,4.31254810021153,37.834036568213776,2026-02
DE,535.0,0.24058784379328335,0.8140619844950577,43.977055449330784,2026-02
FL,13505.0,6.07315669238933,0.9112736707446555,43.789152024446146,2026-02
GA,7183.0,3.230172863490008,0.9651286771869773,42.816174361915685,2026-02
HI,913.0,0.4105732736135844,1.0527213223195524,39.10482921083627,2026-02
IA,977.0,0.4393538754879211,0.4714622545013155,44.723092998955075,2026-02
ID,877.0,0.39438418505927003,0.6804210662566643,39.62485345838218,2026-02
IL,8193.0,3.684366736819384,0.9761560217028019,40.38171772978402,2026-02
IN,2961.0,1.3315525335923588,0.6583245253932106,43.48579348579349,2026-02
KS,1219.0,0.5481805263252567,0.6437712149449534,43.0379746835443,2026-02
KY,1258.0,0.5657187055924306,0.42482831387307496,46.71592775041051,2026-02
LA,1388.0,0.6241793031496771,0.47051023363584743,43.82440476190476,2026-02
MA,7681.0,3.4541219218246906,1.6061956953850904,38.94160096218095,2026-02
MD,4358.0,1.9597791088806147,1.0664653816428287,41.48635936030104,2026-02
ME,581.0,0.2612739013904628,0.652078367732268,37.5886524822695,2026-02
MI,4463.0,2.006997283830698,0.6805860477044736,43.0184331797235,2026-02
MN,3031.0,1.3630313168924146,0.8093478114928156,43.00854700854701,2026-02
