geo_id,Architecture and Engineering,"Arts, Design, Entertainment, Sports, and Media",Building and Grounds Cleaning and Maintenance,Business and Financial Operations,Community and Social Service,Computer and Mathematical,Construction and Extraction,Educational Instruction and Library,"Farming, Fishing, and Forestry",Food Preparation and Serving Related,Healthcare Practitioners and Technical,Healthcare Support,"Installation, Maintenance, and Repair",Legal,"Life, Physical, and Social Science",Management,Office and Administrative Support,Personal Care and Service,Production,Protective Service,Sales and Related,Transportation and Material Moving
IL,3.03,12.05,0.17,5.8,3.1,21.5,,12.17,,0.56,3.71,0.68,0.53,0.85,4.4,5.22,7.09,1.24,1.11,0.44,10.39,0.34
IN,3.5,12.41,,5.46,2.76,22.87,,12.21,,0.38,2.9,0.5,0.65,0.65,4.82,5.22,7.32,1.29,1.23,0.51,8.64,0.33
KS,2.74,13.54,,4.93,3.75,21.07,,12.22,,,3.37,0.56,0.67,0.79,5.25,5.83,6.86,1.05,1.39,,10.39,
KY,2.84,13.22,,5.81,3.15,23.06,,11.44,,,3.84,0.67,1.06,0.94,4.57,4.84,7.11,1.12,1.39,,10.02,
LA,3.48,13.05,,5.49,2.64,21.42,,13.37,,0.52,3.69,0.6,0.71,1.28,4.63,4.94,6.93,1.19,0.97,,10.38,
MA,3.08,13.1,0.13,5.79,2.71,21.48,,13.7,,0.55,3.48,0.58,0.55,0.72,4.83,5.18,7.21,1.18,0.85,0.44,9.6,0.39
MD,2.61,13.58,,5.72,3.4,21.25,,13.17,,0.46,3.69,0.56,0.7,0.94,4.79,5.26,7.24,1.01,0.86,0.28,9.94,0.28
ME,2.22,13.29,,5.7,3.04,23.13,,12.03,,,4.18,,,,4.49,4.97,8.54,0.95,1.14,,9.75,
MI,3.34,12.73,0.15,5.49,2.82,22.56,,12.57,,0.43,3.34,0.56,0.91,0.85,4.76,5.14,7.02,1.22,1.03,0.51,9.75,0.36
MN,3.09,12.08,0.17,5.89,3.28,21.83,,12.44,,0.68,4.25,0.62,0.59,0.84,4.28,5.5,6.62,1.22,1.1,0.27,10.66,0.3
MO,2.83,13.17,,5.16,2.94,23.2,,11.18,,0.54,3.77,0.9,0.68,0.82,4.38,5.6,6.85,1.09,1.05,0.6,10.51,0.34
MS,2.55,16.8,,6.6,3.01,21.83,,13.59,,,2.55,,,1.44,4.25,4.51,7.12,1.11,,,8.24,
MT,2.93,12.46,,5.62,2.69,23.62,,11.07,,,3.26,,,,5.29,5.94,6.43,,1.3,,10.26,
NC,3.0,13.15,0.18,6.33,3.27,21.3,,11.83,,0.39,3.66,0.58,0.76,0.74,4.65,5.71,7.09,1.11,1.02,0.29,10.24,0.33
ND,2.96,10.98,,8.36,,22.91,,14.46,,,3.14,,,,5.05,6.18,5.05,,,,8.89,
NE,2.08,12.81,,5.43,2.75,21.44,,13.1,,0.71,3.7,0.67,0.79,0.87,4.03,5.66,7.9,0.92,1.25,,11.23,
NH,3.48,13.21,,5.02,2.35,22.14,,13.12,,,3.39,0.86,0.86,0.77,4.88,5.5,7.06,1.38,0.95,,10.54,
NJ,2.98,12.01,0.16,6.72,2.99,21.92,,12.17,,0.42,3.84,0.59,0.57,0.94,4.28,5.69,7.55,1.21,1.06,0.46,10.11,0.3
NM,2.48,14.78,,6.29,3.42,18.95,,11.91,,,4.41,0.83,,0.94,4.47,5.54,7.5,1.43,1.32,,9.65,
NV,3.17,12.67,,5.79,3.19,23.62,,10.63,,0.63,4.01,0.79,0.88,1.12,5.04,5.48,6.75,1.06,0.99,0.52,10.19,0.3
NY,2.69,13.17,0.15,6.46,3.52,19.88,0.12,12.1,0.05,0.52,4.45,0.6,0.6,0.97,4.61,5.49,7.59,1.25,0.94,0.35,10.24,0.34
OH,3.22,12.3,,5.56,3.11,22.33,0.2,12.34,,0.52,3.94,0.63,0.72,0.78,4.25,4.72,7.25,1.42,1.27,0.45,10.53,0.33
OK,3.23,12.97,,6.19,3.2,21.29,,11.6,,0.46,3.79,0.66,0.86,0.94,4.68,5.43,6.61,1.12,1.12,0.66,10.33,0.48
OR,2.99,12.91,,5.52,3.15,22.15,0.21,11.84,,0.6,4.31,0.66,0.82,0.81,4.06,5.7,6.83,1.01,1.13,0.33,10.96,0.32
PA,3.27,12.82,0.18,5.62,3.0,22.22,,13.18,,0.52,3.69,0.65,0.71,0.8,4.46,5.11,6.76,1.02,0.93,0.51,9.99,0.33
RI,3.97,14.77,,5.82,1.7,24.5,,13.3,,,2.9,0.71,0.71,0.71,4.02,4.71,6.83,0.92,0.8,,8.92,
SC,3.01,13.62,,6.54,2.29,22.73,,11.57,,0.38,3.33,0.44,0.94,0.84,3.81,5.98,7.82,1.05,0.92,0.54,8.89,0.35
SD,3.83,14.17,,5.0,,24.83,,10.83,,,3.17,,,,4.67,4.5,6.17,,,,10.0,
TN,3.02,12.2,0.23,5.93,3.11,22.88,,11.07,,0.51,3.93,0.57,0.8,0.85,4.16,5.8,7.37,1.14,1.17,0.65,9.91,0.4
TX,2.99,12.08,0.18,6.64,2.95,22.21,0.12,11.51,0.05,0.51,3.61,0.62,0.72,0.95,4.34,5.85,7.57,1.2,1.08,0.41,10.33,0.31
UT,3.07,12.35,0.22,6.28,2.57,23.66,,11.78,,0.43,3.88,0.61,0.91,0.81,4.23,5.79,6.81,1.22,1.31,0.41,9.86,0.21
VA,3.14,12.67,0.19,5.8,2.9,22.18,,12.56,,0.48,3.77,0.69,0.67,0.89,4.79,5.21,7.11,1.17,0.85,0.32,10.0,0.32
VT,1.95,15.69,,4.92,2.6,21.91,,11.79,,,3.44,,,,5.48,4.64,7.24,,,,9.56,
WA,3.37,11.5,0.15,5.9,3.52,22.22,0.1,11.73,0.09,0.6,4.33,0.69,0.78,0.75,4.31,5.45,6.66,1.2,1.09,0.42,11.19,0.36
WI,3.03,12.69,0.32,5.66,3.01,22.59,,12.62,,0.54,3.25,0.79,0.6,0.73,4.57,5.48,6.2,1.36,1.12,0.38,10.36,0.24
WV,3.33,15.36,,6.02,2.82,22.15,,10.63,,,3.33,,,,3.2,5.51,6.53,,,,11.01,
WY,3.99,12.68,,5.16,3.76,25.59,,10.09,,,,,,,4.23,5.87,4.93,,,,9.62,
