geo_id,Architecture and Engineering,"Arts, Design, Entertainment, Sports, and Media",Building and Grounds Cleaning and Maintenance,Business and Financial Operations,Community and Social Service,Computer and Mathematical,Construction and Extraction,Educational Instruction and Library,"Farming, Fishing, and Forestry",Food Preparation and Serving Related,Healthcare Practitioners and Technical,Healthcare Support,"Installation, Maintenance, and Repair",Legal,"Life, Physical, and Social Science",Management,Office and Administrative Support,Personal Care and Service,Production,Protective Service,Sales and Related,Transportation and Material Moving
AK,3.74,13.71,,5.82,2.77,24.65,,11.77,,,3.6,,,,4.02,5.54,6.23,,,,9.56,
AL,2.84,13.29,,5.96,3.18,22.19,,12.19,,0.48,3.98,0.69,0.78,1.06,4.85,5.21,6.86,1.04,1.19,0.54,9.42,0.37
AR,2.68,12.92,,5.25,3.14,22.83,,11.29,,,3.85,,1.55,0.96,4.85,5.2,8.03,0.98,0.84,,9.57,
AZ,2.92,12.58,0.15,6.48,2.87,23.08,,11.01,,0.66,3.8,0.63,0.87,0.88,4.59,5.48,7.25,1.13,1.26,0.35,10.11,0.38
CA,3.12,12.49,0.15,6.37,3.22,21.69,0.11,11.95,0.04,0.56,3.94,0.64,0.69,1.12,4.44,5.48,7.57,1.19,0.95,0.47,10.08,0.35
CO,2.96,12.12,0.21,6.04,2.99,22.3,,11.46,,0.52,3.84,0.73,0.84,0.88,4.25,5.75,7.28,1.36,1.08,0.68,10.72,0.28
CT,2.71,12.65,0.21,6.07,2.9,20.89,,13.04,,0.56,3.87,0.81,0.74,0.81,4.74,5.16,7.51,1.26,0.82,0.48,10.01,0.41
DC,2.17,16.71,,5.2,2.95,20.21,,13.41,,0.53,2.93,0.31,0.57,1.29,5.03,5.37,8.51,0.88,0.55,0.41,8.25,0.39
DE,2.24,11.08,,6.74,3.0,21.48,,12.39,,,5.13,0.87,,1.2,4.8,6.11,7.15,1.36,0.87,,11.08,
FL,2.85,12.3,0.18,6.63,2.54,23.2,0.12,10.53,0.04,0.48,3.69,0.56,0.79,1.21,4.01,5.94,7.97,1.18,1.02,0.61,9.91,0.36
GA,2.88,12.87,0.15,6.12,2.84,21.8,0.11,11.38,0.08,0.48,3.83,0.61,0.61,0.93,4.38,6.07,7.34,1.2,1.03,0.45,10.35,0.35
HI,2.76,13.17,,6.0,2.62,21.79,,11.31,,0.66,4.38,0.9,0.66,0.97,4.62,5.93,6.86,1.38,0.83,,10.83,
IA,2.79,12.83,,5.58,2.71,24.02,,12.31,,,3.94,,0.76,,4.42,5.34,7.29,1.08,1.47,,9.24,
ID,4.04,12.19,,6.41,2.0,24.1,,10.27,,,3.68,0.67,0.82,0.94,4.08,5.07,8.07,0.74,0.9,,10.93,
