state,agri_share,arts_accom_share,pubadmin_share,college_share,rural_share,log_usage,log_aui,personal_share
AL,0.9298759193556319,7.78884227227766,5.44979179186933,6.156329096786683,40.96,-0.342490308946776,-0.7550225842780328,53.81
AK,1.6986047588722284,8.206159902738378,11.195507439356222,4.777544395646363,33.98,-2.2072749131897207,-0.6733445532637656,54.88
AZ,0.7468635708791905,9.454671088920332,4.758178158963551,6.368263985450024,10.19,0.7323678937132266,-0.05129329438755058,49.09
AR,1.8545295666972728,7.631487309449087,4.2016617340978275,5.1343105132758655,43.84,-1.0498221244986778,-0.941608539858445,52.53
CA,1.9043110564460242,9.664917988879338,4.64064823888872,7.83431902103988,5.05,2.9575110607337933,0.4824261492442928,47.77
CO,1.1784773521794947,9.585829081122723,4.816996827737718,6.712347491511392,13.85,0.9400072584914712,0.34358970439007686,50.67
CT,0.5097326345120414,8.002600676706694,3.4939826179260933,7.160762467704178,12.01,0.14842000511827322,0.06765864847381486,50.36
DE,0.7050952850222771,8.986395785290952,5.947109922292789,6.174469280051645,16.7,-1.171182981502945,0.04879016416943205,55.22
DC,0.05632355155032522,8.034541650877038,18.607796010112285,8.932401017793062,0.0,-0.2744368457017603,1.199964782928397,42.68
FL,0.7688053380821055,11.096825656415712,4.021453342335127,6.1798768440418685,8.84,1.9473377010464987,0.04879016416943205,46.61
GA,0.90534950175384,8.610817360116442,4.744364313911353,6.319729869843361,24.93,1.1378330018213911,-0.07257069283483537,49.81
HI,1.1444443612568973,14.636249971924203,8.010960791213398,6.310382807330393,8.07,-0.7985076962177716,0.131028262406404,50.88
ID,3.333087680061178,9.17066387262771,4.677558719142478,6.10217447761963,29.42,-0.941608539858445,-0.3856624808119846,48.76
IL,0.9411246095434916,8.33198243676461,3.7859547836748497,6.410179060910827,11.51,1.332366019094335,0.0,50.62
IN,1.04961871499721,7.729767391054048,3.6964127030051106,5.962310651027347,27.56,0.20701416938432612,-0.4942963218147801,51.29
IA,3.4828445003264266,7.154955630243973,3.4344246439538653,6.253516186305243,35.98,-0.9675840262617056,-0.8915981192837836,47.73
KS,2.8045612019006585,7.076914955606855,4.66292138633575,6.628736824189684,25.8,-0.8915981192837836,-0.7339691750802004,53.07
KY,1.2257391311019616,8.268859867437376,4.35302591310636,5.488460720241377,41.62,-0.6733445532637656,-0.941608539858445,53.2
LA,0.91853611292061,9.528993588711485,5.116179677579299,5.901449724489824,26.81,-0.4462871026284195,-0.7339691750802004,50.4
ME,2.316907967149268,8.42703129850704,4.22416955945023,5.765019301618988,61.34,-1.3470736479666092,-0.4307829160924542,51.34
MD,0.42501192851158476,8.14435565373879,11.030241438083824,6.78392910795087,12.8,0.6931471805599453,0.08617769624105241,49.56
MA,0.3502779503879,7.9245492079126425,3.864217553210899,7.91898256628776,8.03,1.1151415906193203,0.35065687161316933,48.46
MI,1.0401623720686535,8.656194478246618,3.622643762788988,5.9864362194044265,25.43,0.5933268452777344,-0.4942963218147801,53.28
MN,1.9141035061935756,7.305991496955701,3.7779498215410454,6.019556239203638,26.73,0.3148107398400336,-0.21072103131565253,54.14
MS,1.4294184549389795,8.727321651223148,4.817814461891301,6.138294451599753,50.65,-1.4271163556401458,-1.2729656758128873,49.51
MO,1.532746186530353,8.07791362104612,4.177706871571133,5.747790470500842,29.56,0.23111172096338664,-0.35667494393873245,52.6
MT,4.267815609596495,10.343509278555832,5.556108767861842,5.334598834815622,44.11,-1.6607312068216509,-0.5447271754416722,47.99
NE,4.304040386576995,7.767750288626483,4.006289271931291,6.633433995523913,26.87,-1.0216512475319814,-0.4620354595965587,54.72
NV,0.4656983515858734,20.04603661729155,4.052198817027253,5.28966798376548,5.8,0.09531017980432493,0.12221763272424911,48.98
NH,0.43022854994046006,7.734451709946309,3.9540549856895146,6.114897917574254,39.7,-1.0216512475319814,-0.12783337150988489,47.84
NJ,0.3003235813148247,7.683306150552554,4.274115271011105,6.48102125561066,5.32,1.0473189942805592,0.01980262729617973,48.55
NM,1.7463885107685164,10.991695421401964,6.89892051030422,6.149015516102768,22.57,-1.2039728043259361,-0.7133498878774648,52.89
NY,0.4517382234803259,8.459712231189979,4.681672458436073,7.0813795811892595,12.13,2.206074192613202,0.4382549309311553,49.31
NC,0.8638764577508926,8.683639041816424,4.107590877960194,6.589763879567783,33.91,1.0473189942805592,-0.12783337150988489,51.3
ND,5.222817790306926,6.984729287480553,5.8173562304604625,7.7286174652649375,40.1,-2.4079456086518722,-0.9942522733438669,49.71
OH,0.7450768926752835,8.335176028219424,3.9946397893121164,5.6158736103411,22.08,0.7030975114131134,-0.527632742082372,52.75
OK,1.5293227532355638,9.17880487902558,6.168705005991083,5.868588935384779,33.76,-0.4620354595965587,-0.6348782724359695,54.0
OR,2.744970863078613,8.46954135718956,4.859725140993936,5.5026395910728745,18.97,0.3293037471426003,0.09531017980432493,52.87
PA,0.9012172010329358,7.7944553532798615,3.8700870982878,6.16404086009584,21.34,1.1019400787607843,-0.2231435513142097,51.75
RI,0.6903180393824297,8.984853736185599,4.4550882370806555,8.727467461758332,9.27,-1.1394342831883648,-0.040821994520255166,46.28
SC,0.8710944686315794,8.89972221769693,4.289950526856594,5.798224292009583,33.67,-0.2231435513142097,-0.6733445532637656,47.67
SD,5.966596202555753,7.790622136734232,4.964439958440987,5.109249961879698,43.35,-2.3025850929940455,-0.9942522733438669,45.78
TN,0.7764595836649799,8.932524212617867,4.416515125986951,5.576398367847965,33.61,0.37843643572024505,-0.37106368139083207,50.67
TX,0.7796668011231639,8.488432286147008,3.9002701255818324,6.409599053867429,15.3,2.187174241482718,-0.05129329438755058,49.66
UT,0.8005983868582416,8.205351353196138,4.551551141599263,8.200965171067315,9.42,0.2468600779315258,0.1906203596086497,50.85
VT,2.3135079478932874,9.05533445938129,4.93648626761378,6.998967759912354,61.1,-1.8325814637483102,-0.13926206733350766,47.64
VA,0.5922417786012043,8.017021769337656,8.719731357109774,6.955940917858125,24.55,1.0152306797290584,0.06765864847381486,49.59
WA,2.2898010110235005,8.583152180903747,5.066205317520549,5.692679244684919,15.95,1.2725655957915476,0.412109650826833,54.28
WV,0.580347416166538,8.387901836116228,7.582678049134762,5.213142962254091,51.28,-2.0402208285265546,-1.3862943611198906,50.24
WI,1.8341708296104309,7.1781375683740825,3.623617754899263,5.765455149066044,29.85,0.01980262729617973,-0.527632742082372,54.17
WY,4.734674403429622,7.940121945229893,6.746630368431762,5.709383347602361,35.24,-2.659260036932778,-0.843970070294529,53.47
