geo,indic_is,unit,F,M,M_minus_F_pp
CY,I_IUAIWP,PC_IND_IUAI,53.13,49.45,-3.6799999999999997
CZ,I_IUAI,PC_IND,33.31,37.55,4.239999999999995
CZ,I_IUAI,PC_IND_IU3,35.14,39.85,4.710000000000001
CZ,I_IUAIFE,PC_IND,8.61,8.12,-0.4900000000000002
CZ,I_IUAIFE,PC_IND_IU3,9.09,8.61,-0.4800000000000004
CZ,I_IUAIFE,PC_IND_IUAI,25.86,21.62,-4.239999999999998
CZ,I_IUAIPR,PC_IND,25.94,31.12,5.18
CZ,I_IUAIPR,PC_IND_IU3,27.37,33.03,5.66
CZ,I_IUAIPR,PC_IND_IUAI,77.87,82.89,5.019999999999996
CZ,I_IUAIWP,PC_IND,11.73,15.57,3.84
CZ,I_IUAIWP,PC_IND_IU3,12.37,16.53,4.160000000000002
CZ,I_IUAIWP,PC_IND_IUAI,35.2,41.48,6.279999999999994
DE,I_IUAI,PC_IND,29.6,34.9,5.299999999999997
DE,I_IUAI,PC_IND_IU3,31.4,36.78,5.380000000000003
DE,I_IUAIFE,PC_IND,4.78,7.29,2.51
DE,I_IUAIFE,PC_IND_IU3,5.07,7.68,2.6099999999999994
DE,I_IUAIFE,PC_IND_IUAI,16.15,20.89,4.740000000000002
DE,I_IUAIPR,PC_IND,24.69,29.71,5.02
DE,I_IUAIPR,PC_IND_IU3,26.19,31.31,5.119999999999997
DE,I_IUAIPR,PC_IND_IUAI,83.41,85.13,1.7199999999999989
DE,I_IUAIWP,PC_IND,13.76,17.81,4.049999999999999
DE,I_IUAIWP,PC_IND_IU3,14.6,18.77,4.17
DE,I_IUAIWP,PC_IND_IUAI,46.49,51.03,4.539999999999999
DK,I_IUAI,PC_IND,44.49,52.36,7.869999999999997
DK,I_IUAI,PC_IND_IU3,44.58,52.57,7.990000000000002
DK,I_IUAIFE,PC_IND,17.97,17.76,-0.2099999999999973
DK,I_IUAIFE,PC_IND_IU3,18.0,17.82,-0.17999999999999972
DK,I_IUAIFE,PC_IND_IUAI,40.39,33.91,-6.480000000000004
DK,I_IUAIPR,PC_IND,30.25,39.3,9.049999999999997
DK,I_IUAIPR,PC_IND_IU3,30.31,39.45,9.140000000000004
DK,I_IUAIPR,PC_IND_IUAI,67.99,75.05,7.060000000000002
DK,I_IUAIWP,PC_IND,22.12,32.19,10.069999999999997
DK,I_IUAIWP,PC_IND_IU3,22.16,32.31,10.150000000000002
DK,I_IUAIWP,PC_IND_IUAI,49.72,61.47,11.75
EE,I_IUAI,PC_IND,47.4,45.84,-1.5599999999999952
EE,I_IUAI,PC_IND_IU3,50.02,48.27,-1.75
EE,I_IUAIFE,PC_IND,16.02,14.76,-1.2599999999999998
EE,I_IUAIFE,PC_IND_IU3,16.91,15.54,-1.370000000000001
EE,I_IUAIFE,PC_IND_IUAI,33.8,32.2,-1.5999999999999943
EE,I_IUAIPR,PC_IND,36.2,38.8,2.5999999999999943
EE,I_IUAIPR,PC_IND_IU3,38.21,40.86,2.6499999999999986
