geo,indic_is,unit,F,M,M_minus_F_pp
TR,I_IUAIFE,PC_IND_IUAI,36.61,26.73,-9.879999999999999
TR,I_IUAIPR,PC_IND,12.69,14.72,2.030000000000001
TR,I_IUAIPR,PC_IND_IU3,14.58,15.92,1.3399999999999999
TR,I_IUAIPR,PC_IND_IUAI,77.37,81.88,4.509999999999991
TR,I_IUAIWP,PC_IND,4.84,6.79,1.9500000000000002
TR,I_IUAIWP,PC_IND_IU3,5.56,7.34,1.7800000000000002
TR,I_IUAIWP,PC_IND_IUAI,29.52,37.75,8.23
XK,I_IUAI,PC_IND,42.54,47.19,4.649999999999999
XK,I_IUAI,PC_IND_IU3,42.94,48.22,5.280000000000001
XK,I_IUAIFE,PC_IND,20.52,20.27,-0.25
XK,I_IUAIFE,PC_IND_IU3,20.71,20.72,0.00999999999999801
XK,I_IUAIFE,PC_IND_IUAI,48.23,42.96,-5.269999999999996
XK,I_IUAIPR,PC_IND,38.12,44.39,6.270000000000003
XK,I_IUAIPR,PC_IND_IU3,38.48,45.36,6.880000000000003
XK,I_IUAIPR,PC_IND_IUAI,89.61,94.07,4.459999999999994
XK,I_IUAIWP,PC_IND,19.15,29.48,10.330000000000002
XK,I_IUAIWP,PC_IND_IU3,19.33,30.12,10.790000000000003
XK,I_IUAIWP,PC_IND_IUAI,45.02,62.47,17.449999999999996
