geo,ind,unit,grp,value,flag,usable
SE,I_IUAIFE,PC_IND,CB_EU_FOR,10.26,,True
SI,I_IUAIFE,PC_IND,CB_EU_FOR,2.62,u,False
AT,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,13.28,,True
BE,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,8.65,,True
BG,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,,u,False
CY,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,11.37,u,False
CZ,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,2.24,u,False
DE,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,3.08,,True
DK,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,16.51,,True
EA,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,7.99,,True
EE,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,,u,False
EL,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,,u,False
ES,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,13.63,,True
EU27_2020,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,8.22,,True
FI,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,4.43,u,False
FR,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,,u,False
HR,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,,u,False
HU,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,10.02,,True
IT,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,3.55,,True
LT,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,,u,False
LU,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,9.43,,True
LV,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,,u,False
MT,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,23.68,,True
NL,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,13.04,,True
PL,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,,u,False
PT,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,17.23,,True
RO,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,,u,False
SE,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,10.52,,True
SI,I_IUAIFE,PC_IND_IU3,CB_EU_FOR,3.22,u,False
AT,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,29.94,,True
BE,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,18.84,,True
BG,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,,u,False
CY,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,38.36,u,False
CZ,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,7.21,u,False
DE,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,11.86,,True
DK,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,33.89,,True
EA,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,23.8,,True
EE,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,,u,False
EL,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,,u,False
ES,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,37.2,,True
EU27_2020,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,23.73,,True
FI,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,11.34,u,False
FR,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,,u,False
HR,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,,u,False
HU,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,25.25,,True
IT,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,23.03,,True
LT,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,,u,False
LU,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,23.02,,True
LV,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,,u,False
MT,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,36.97,,True
NL,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,27.13,,True
PL,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,,u,False
PT,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,31.13,,True
RO,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,,u,False
SE,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,22.7,,True
SI,I_IUAIFE,PC_IND_IUAI,CB_EU_FOR,7.83,u,False
AT,I_IUAIPR,PC_IND,CB_EU_FOR,33.43,,True
BE,I_IUAIPR,PC_IND,CB_EU_FOR,31.77,,True
BG,I_IUAIPR,PC_IND,CB_EU_FOR,,u,False
CY,I_IUAIPR,PC_IND,CB_EU_FOR,26.52,u,False
CZ,I_IUAIPR,PC_IND,CB_EU_FOR,24.95,u,False
DE,I_IUAIPR,PC_IND,CB_EU_FOR,20.92,,True
DK,I_IUAIPR,PC_IND,CB_EU_FOR,37.1,,True
EA,I_IUAIPR,PC_IND,CB_EU_FOR,24.18,,True
EE,I_IUAIPR,PC_IND,CB_EU_FOR,,u,False
EL,I_IUAIPR,PC_IND,CB_EU_FOR,,u,False
ES,I_IUAIPR,PC_IND,CB_EU_FOR,27.32,,True
EU27_2020,I_IUAIPR,PC_IND,CB_EU_FOR,25.22,,True
FI,I_IUAIPR,PC_IND,CB_EU_FOR,22.13,u,False
