vintage,wave,surface,C,S15_mass,nodes,hhi,eff_n,se_C,C_fixed_aug
2010,aug2025,ai,60.16082863720263,35.89519478607434,330,519.3670999263035,346207.0,0.08320398571133292,60.16082863720263
2010,aug2025,api,61.146677671512585,43.99298990724488,299,701.8872906267862,415574.5,0.07560944802661274,61.146677671512585
2010,nov2025,ai,61.18589548708385,33.71966495811975,342,618.150953902909,337154.5,0.08392782441708266,58.636619116755114
2010,nov2025,api,61.95982533537006,45.75373768045082,323,743.6730206684332,444509.0,0.07281755027063777,52.887343113412804
2010,feb2026,ai,54.35542276791841,29.99498333333333,352,450.277207677986,299949.8333333333,0.09094770008638554,50.79582752449161
2010,feb2026,api,56.975794834960574,46.68631666666666,317,584.8834396245232,466863.1666666666,0.07246141631953208,47.19669824741653
2019,aug2025,ai,58.2772000871242,38.557316064174564,331,470.73502882484524,371883.0,0.0808598439206061,58.2772000871242
2019,aug2025,api,57.7897264249377,47.3301412816338,298,622.2405097784209,447098.5,0.0738639955381401,57.7897264249377
2019,nov2025,ai,59.987527310051945,36.00315039379921,344,560.665873322588,359986.5,0.08165542968534042,57.15325435814957
2019,nov2025,api,61.49974202137087,52.267723424512994,318,639.947448091504,507794.0,0.06828490102916425,56.362619487429946
2019,feb2026,ai,53.38964485932909,32.182083333333324,348,415.27062988806495,321820.8333333333,0.08793517747822649,50.07196032989372
2019,feb2026,api,58.531803731362295,55.64991666666666,313,564.5413499971489,556499.1666666666,0.06604215974544507,52.77635935363785
