vintage,rule,wave,surface,classified,allconv,named_base,matched_mass
2010,occ,aug2025,ai,39.07056371296021,35.895194786074384,39.07056371296021,91.87273326739191
2010,occ,aug2025,api,50.08406105906091,43.992989907244926,50.08406105906092,87.83830419695155
2010,occ,nov2025,ai,36.05826355816466,33.7196649581198,36.05826355816467,93.51438929866221
2010,occ,nov2025,api,51.82853671589797,45.753737680450875,51.82853671589797,88.27904583000941
2010,occ,feb2026,ai,32.262591865168574,29.994983333333337,32.262591865168574,92.97139999999996
2010,occ,feb2026,api,51.70844796701504,46.686316666666684,51.70844796701505,90.28759999999998
2010,major,aug2025,ai,39.02886445993546,35.856884542568466,39.02886445993546,91.87273326739191
2010,major,aug2025,api,49.97878889405779,43.90052062271477,49.97878889405781,87.83830419695155
2010,major,nov2025,ai,36.01992241935263,33.68381047630957,36.01992241935263,93.5143892986622
2010,major,nov2025,api,51.734034627057845,45.67031213813338,51.734034627057845,88.27904583000941
2010,major,feb2026,ai,32.22851328473059,29.963300000000007,32.22851328473058,92.97139999999995
2010,major,feb2026,api,51.60808350205345,46.595700000000015,51.608083502053454,90.28759999999998
2010,title,aug2025,ai,39.07056371296021,35.895194786074384,39.07056371296021,91.87273326739191
2010,title,aug2025,api,50.08406105906091,43.992989907244926,50.08406105906092,87.83830419695155
2010,title,nov2025,ai,36.05826355816466,33.7196649581198,36.05826355816467,93.51438929866221
2010,title,nov2025,api,51.82853671589797,45.753737680450875,51.82853671589797,88.27904583000941
2010,title,feb2026,ai,32.262591865168574,29.994983333333337,32.262591865168574,92.97139999999996
2010,title,feb2026,api,51.70844796701504,46.686316666666684,51.70844796701505,90.28759999999998
2010,dup,aug2025,ai,39.04123691621543,35.976895657204736,39.15949202522949,92.1510138995161
2010,dup,aug2025,api,49.966117523107165,44.179569316500114,50.296473412601856,88.4190557652772
2010,dup,nov2025,ai,36.03093657341416,33.79832479059886,36.14237877622789,93.80362545318152
2010,dup,nov2025,api,51.72421388970694,45.921721005635504,52.01882346356865,88.78186356501365
2010,dup,feb2026,ai,32.24686140859876,30.065200000000008,32.33811688325658,93.23449999999994
2010,dup,feb2026,api,51.5975119722574,46.868600000000015,51.91033984733232,90.83499999999998
2019,occ,aug2025,ai,41.9681821721305,38.557316064174614,41.96818217213049,91.8727332673919
2019,occ,aug2025,api,53.88325937567042,47.33014128163385,53.88325937567043,87.83830419695154
2019,occ,nov2025,ai,38.500118178405586,36.00315039379926,38.500118178405586,93.5143892986622
2019,occ,nov2025,api,59.207395065370335,52.26772342451306,59.20739506537032,88.2790458300094
2019,occ,feb2026,ai,34.61503573500382,32.182083333333345,34.61503573500382,92.97139999999996
2019,occ,feb2026,api,61.636278588274216,55.649916666666684,61.63627858827422,90.28759999999998
2019,major,aug2025,ai,41.92648291910575,38.51900582066869,41.92648291910574,91.87273326739188
2019,major,aug2025,api,53.7779872106673,47.237671997103696,53.77798721066731,87.83830419695155
2019,major,nov2025,ai,38.46177703959355,35.967295911989034,38.46177703959355,93.5143892986622
2019,major,nov2025,api,59.1128929765302,52.184297882195565,59.1128929765302,88.27904583000941
2019,major,feb2026,ai,34.58095715456583,32.15040000000001,34.58095715456583,92.97139999999996
2019,major,feb2026,api,61.53591412331263,55.559300000000015,61.53591412331263,90.28759999999997
2019,title,aug2025,ai,41.967471747682644,38.557316064174614,41.96818217213049,91.87428848702001
2019,title,aug2025,api,53.870015109198334,47.33014128163385,53.88325937567043,87.85989977112916
2019,title,nov2025,ai,38.49476611948586,36.00315039379926,38.500118178405586,93.52739092386535
2019,title,nov2025,api,59.18455355810837,52.26772342451306,59.20739506537032,88.31311597745801
2019,title,feb2026,ai,34.60904243401892,32.182083333333345,34.61503573500382,92.98749999999997
2019,title,feb2026,api,61.62365185371383,55.649916666666684,61.63627858827422,90.30609999999999
2019,dup,aug2025,ai,41.929397416309115,38.639016935304966,42.05711048439977,92.1525691191442
2019,dup,aug2025,api,53.727239647421044,47.516720690889045,54.09567172921137,88.44065133945483
2019,dup,nov2025,ai,38.459931197624044,36.08181022627832,38.58423339646881,93.81662707838467
2019,dup,nov2025,api,59.038625793718445,52.43570674969768,59.39768181304099,88.81593371246225
2019,dup,feb2026,ai,34.58669434834737,32.25230000000001,34.69056075309182,93.25059999999996
2019,dup,feb2026,api,61.452998508588,55.832200000000014,61.83817046859149,90.85349999999998
