geo_id,gdp_pwa,coding_share,personal_share,lang_group,agency_ai_alone,hof_pdi,hof_idv,hof_uai,hof_pdi_regional,hof_idv_regional,hof_uai_regional,globe_pdi_practices,globe_participative,hof_pdi_extended
GUY,46285.034274087586,,,,,,,,,,,,,
HND,5256.315221358912,11.778290993071591,30.788804071246823,english,,,,,,,,,,
HRV,38045.172524694855,17.22222222222222,43.08943089430895,english,,73.0,33.0,80.0,,,,,,73.0
HTI,3475.4520114928823,,37.93103448275862,french,,,,,,,,,,
HUN,36106.862456746145,23.753280839895012,44.363193174893354,english,,46.0,80.0,82.0,,,,5.558247422680412,5.011839708561021,46.0
IDN,7231.199089520412,28.813653238765447,19.030907278165504,english,0.0439499816108863,78.0,14.0,48.0,,,,5.1789772727272725,4.467440119760479,78.0
IND,3948.7128605939074,52.14582038420955,27.817374238198532,english,0.0395431834403997,77.0,48.0,40.0,,,,5.466019417475729,5.070540935672514,77.0
IRL,163661.46945325768,16.177178623013962,39.20879120879121,english,0.0216508795669824,28.0,70.0,35.0,,,,5.150666666666668,5.761217948717948,28.0
IRQ,10043.662811380043,13.521126760563378,47.83549783549784,english,0.048582995951417,,,,80.0,38.0,68.0,,,80.0
ISL,124196.00871446758,,50.80213903743316,english,,,,,,,,,,
ISR,90237.43265143564,23.454313332117454,41.631931287103704,english,0.0220095693779904,13.0,54.0,81.0,,,,4.72638888888889,4.8015432098765425,13.0
ITA,63346.04219526605,28.242314898341547,39.02289702461124,english,0.0243185462319615,50.0,76.0,75.0,,,,5.426877934272303,5.570488721804511,50.0
JAM,9671.355122194287,5.483870967741936,33.12101910828025,english,,45.0,39.0,13.0,,,,,,45.0
JOR,7135.879551781071,29.67525195968645,31.914893617021285,english,,,,,,,,,,
JPN,55246.96466016575,27.103543852702437,43.08948295181687,japanese,0.0175195942830797,54.0,46.0,92.0,,,,5.10943396226415,5.3095854922279795,54.0
KAZ,22317.150362946555,28.373450036469738,38.36116910229645,english,0.0606060606060606,,,,,,,5.312146892655367,5.132231404958676,
KEN,3558.849073408154,31.881918819188193,25.736040609137056,english,0.0329218106995884,,,,64.0,27.0,52.0,,,64.0
KGZ,3906.36602991404,17.753623188405797,36.47058823529411,russian,,,,,,,,,,
KHM,4189.637022057561,32.87858117326057,36.25218914185639,english,,,,,,,,,,
KIR,3749.284836090518,,,,,,,,,,,,,
KNA,33782.966368255504,,,,,,,,,,,,,
KOR,51496.35067757943,30.858015785453617,33.34204337601255,korean,0.0123546511627906,60.0,18.0,85.0,,,,5.606779661016949,5.575107296137339,60.0
KWT,40520.77402630855,14.244186046511626,44.44444444444444,english,,,,,80.0,38.0,68.0,5.1241379310344835,4.994791666666667,80.0
LAO,3137.563145458921,13.648293963254591,32.35294117647059,english,,,,,,,,,,
LBN,7649.559298285476,34.38395415472779,28.258064516129032,english,,,,,80.0,38.0,68.0,,,80.0
LBR,1501.5941581816312,,,,,,,,,,,,,
LCA,19268.8086637085,,,english,,,,,,,,,,
LKA,6855.768591970304,37.865612648221344,24.576802507836994,english,,,,,,,,,,
LSO,1603.0035663184583,,,,,,,,,,,,,
LTU,45109.332193465,21.91387559808613,41.60377358490566,english,,42.0,60.0,65.0,,,,,,42.0
LUX,199973.81446042765,,36.26943005181347,english,,40.0,60.0,70.0,,,,,,40.0
LVA,37168.53471842537,21.240310077519386,48.18481848184818,english,,44.0,70.0,63.0,,,,,,44.0
MAR,6159.655576326082,42.063983488132095,31.56467854376453,english,0.0379048931771192,70.0,46.0,68.0,,,,5.801923076923076,5.390522875816994,70.0
MDA,11853.79921916384,24.94929006085193,32.838283828382835,english,,,,,,,,,,
MDG,950.4549962287342,29.331046312178387,26.77760968229955,french,,,,,,,,,,
MDV,17551.84408141015,,32.065217391304344,english,,,,,,,,,,
MEX,21055.23141283793,29.720889664195376,32.853137387605145,spanish,0.0268608414239482,81.0,30.0,82.0,,,,5.223882113821137,4.618032786885246,81.0
MHL,12247.933161279034,,,,,,,,,,,,,
MKD,14284.258368739234,17.878787878787875,27.728613569321535,english,,,,,,,,,,
MLT,63416.5934217836,,36.39705882352941,english,,56.0,59.0,96.0,,,,,,56.0
MNE,20082.201107362056,6.756756756756757,42.63565891472868,english,,,,,,,,,,
MNG,10677.466362993113,,23.7410071942446,english,,,,,,,,,,
MOZ,1200.8185090654026,7.947019867549669,32.240437158469945,portuguese,,,,,,,,,,
MRT,3827.747429501387,,30.303030303030305,english,,,,,,,,,,
MUS,16566.49364893835,5.128205128205129,32.78145695364238,english,,,,,,,,,,
MWI,960.6402944020084,,20.54054054054054,english,,,,,,,,,,
