geo_id,rule_of_law,reg_quality,gov_eff
ABW,1.2789075374603271,0.9670425653457642,1.1053333282470703
ADO,1.4854499101638794,1.39833402633667,1.4953049421310425
AFG,-1.6584422588348389,-1.271806240081787,-1.8795523643493652
AGO,-1.0219045877456665,-0.6066985726356506,-1.0404293537139893
AIA,0.4281219244003296,0.9721168875694275,1.2195093631744385
ALB,-0.16577909886837006,0.1593538224697113,0.06506284326314926
ARE,0.8366427421569824,1.034780740737915,1.2999622821807861
ARG,-0.4806823134422302,-0.6975657343864441,-0.2828772962093353
ARM,-0.1685672253370285,-0.019078802317380905,-0.3142295181751251
ASM,1.2211178541183472,0.5458997488021851,0.6679181456565857
ATG,0.3913155794143677,0.2890869677066803,-0.15946857631206512
AUS,1.5100852251052856,1.8948932886123657,1.5288746356964111
AUT,1.7058502435684204,1.2831997871398926,1.4654501676559448
AZE,-0.6246455907821655,-0.10334420204162598,-0.04065791517496109
BDI,-1.2771397829055786,-0.9474856853485107,-1.262840747833252
BEL,1.3489423990249634,1.2529551982879639,1.227658748626709
BEN,-0.6023895144462585,-0.3483646512031555,-0.1642960011959076
BFA,-0.6076789498329163,-0.46830567717552185,-0.8251553773880005
BGD,-0.6013393402099609,-0.9276589155197144,-0.7625519037246704
BGR,-0.10721157491207123,0.3206869065761566,-0.270799845457077
BHR,0.43882861733436584,0.9706335067749023,0.640424907207489
BHS,0.13363586366176605,-0.14648596942424774,0.4242183268070221
BIH,-0.306685209274292,-0.1576153188943863,-1.0644264221191406
BLR,-1.221556544303894,-1.3312140703201294,-0.8511050939559937
BLZ,-0.7207590937614441,-0.43876633048057556,-0.3561786413192749
BMU,0.692453920841217,0.9721168875694275,1.2195093631744385
BOL,-1.300902247428894,-1.210536241531372,-0.5639767646789551
BRA,-0.25725093483924866,-0.22043763101100922,-0.5875321626663208
BRB,0.35876020789146423,0.4765003025531769,0.428703635931015
BRN,0.9342095851898193,1.067043423652649,1.422244668006897
BTN,0.6720345616340637,-0.38197043538093567,0.5560073852539062
SSD,-2.0554490089416504,-2.1039927005767822,-2.3898651599884033
BWA,0.46735137701034546,0.6210435628890991,0.46399715542793274
CAF,-1.7011574506759644,-1.4741841554641724,-1.709396243095398
CAN,1.5662201642990112,1.6770927906036377,1.567070484161377
CHE,1.7518067359924316,1.6201130151748657,2.0499489307403564
CHL,0.6904006600379944,0.9784111380577087,0.5467739701271057
CHN,-0.04144398495554924,-0.41841763257980347,0.49503201246261597
CIV,-0.4796401560306549,-0.15201295912265778,-0.34297722578048706
CMR,-1.045376181602478,-0.8988894820213318,-0.8815447092056274
COG,-1.0895229578018188,-1.261431336402893,-1.3693218231201172
COK,-0.5523272156715393,-0.07676299661397934,-0.16702421009540558
COL,-0.4268755316734314,0.1404491662979126,0.014415628276765347
COM,-1.3137179613113403,-1.2005380392074585,-1.682512879371643
CPV,0.3652321696281433,0.26368221640586853,-0.026202837005257607
CRI,0.43657729029655457,0.567061722278595,0.05326642841100693
CUB,-0.4596349596977234,-1.3818594217300415,-0.3503318428993225
CYM,0.7211952805519104,1.0855724811553955,1.262335181236267
CYP,0.5707985162734985,0.773753821849823,0.7306788563728333
CZE,1.1008057594299316,1.3858983516693115,1.0939074754714966
DEU,1.5331543684005737,1.5222949981689453,1.2898074388504028
DJI,-1.1020444631576538,-0.8997994065284729,-0.7861645221710205
DMA,0.7332937717437744,0.3415094316005707,-0.09709381312131882
DNK,1.9003081321716309,1.8431274890899658,1.9906097650527954
DOM,-0.09217531234025955,0.06954778730869293,-0.06773306429386139
DZA,-0.8324726819992065,-1.0635732412338257,-0.5130902528762817
ECU,-0.620224118232727,-0.45972153544425964,-0.308546245098114
EGY,-0.2637726664543152,-0.7139208316802979,-0.4475468099117279
ERI,-1.7713862657546997,-2.3693926334381104,-1.7304044961929321
ESP,0.7999321222305298,0.7970744371414185,0.9207578897476196
EST,1.4263890981674194,1.558964490890503,1.3431340456008911
ETH,-0.6234569549560547,-0.9484174251556396,-0.7452651858329773
FIN,1.9583724737167358,1.7791528701782227,1.7551268339157104
FJI,0.3216821551322937,-0.060217201709747314,0.5917828679084778
FRA,1.182720422744751,1.1889523267745972,1.1658068895339966
FSM,0.6861087679862976,-0.5612719058990479,0.379839152097702
GAB,-0.8405794501304626,-0.7022572159767151,-0.7261165976524353
GBR,1.4154912233352661,1.5665100812911987,1.2386348247528076
GEO,0.16997326910495758,1.0323086977005005,0.6508255004882812
GHA,-0.07631980627775192,-0.1788187026977539,-0.0625455379486084
GIN,-1.1023589372634888,-1.0501046180725098,-0.9415791630744934
GMB,-0.44960519671440125,-0.7145701050758362,-0.674558699131012
GNB,-1.4542180299758911,-1.3214889764785767,-1.4861575365066528
GNQ,-1.4062564373016357,-1.4932661056518555,-1.296387791633606
GRC,0.3255847096443176,0.4643789827823639,0.4473987817764282
GRD,0.5540050268173218,0.393730491399765,0.03847955912351608
GRL,1.690608263015747,1.2031716108322144,0.7568732500076294
GTM,-1.1271382570266724,-0.291810005903244,-0.9068918228149414
GUF,1.1347064971923828,1.0855724811553955,1.242330551147461
GUM,1.2211178541183472,0.5458997488021851,0.6679181456565857
GUY,-0.31364890933036804,-0.5276933908462524,-0.2658984065055847
HKG,1.2792032957077026,1.5898014307022095,1.5902228355407715
HND,-1.017099380493164,-0.4852927327156067,-0.8664673566818237
HRV,0.3681163191795349,0.5025498867034912,0.5816510319709778
HTI,-1.3773607015609741,-1.3143843412399292,-2.2269656658172607
HUN,0.4236740171909332,0.4065376818180084,0.5343445539474487
IDN,-0.1889546513557434,0.2059599608182907,0.43699929118156433
IND,0.11470004171133041,-0.050446417182683945,0.37033140659332275
IRL,1.5274144411087036,1.6395608186721802,1.5491381883621216
IRN,-1.017072081565857,-1.592711329460144,-0.8821166753768921
IRQ,-1.7505730390548706,-1.1804851293563843,-1.3019154071807861
ISL,1.7030258178710938,1.3072965145111084,1.5632753372192383
ISR,0.9452487230300903,1.2062876224517822,1.2365643978118896
ITA,0.2970094680786133,0.5109314918518066,0.44905707240104675
JAM,-0.07192675769329071,0.19021353125572205,0.6044821739196777
JOR,0.21717245876789093,0.15679334104061127,0.1947138011455536
JPN,1.558240294456482,1.4387725591659546,1.6197468042373657
KAZ,-0.4743933379650116,-0.01123405434191227,0.14343048632144928
KEN,-0.3219511806964874,-0.38082996010780334,-0.30056944489479065
KGZ,-1.1478084325790405,-0.6325882077217102,-0.889000654220581
KHM,-0.8665846586227417,-0.7098010182380676,-0.35166239738464355
KIR,0.622418999671936,-0.26182594895362854,0.16757559776306152
KNA,0.5023447275161743,0.5844449400901794,0.3921225965023041
KOR,1.1597031354904175,1.145222544670105,1.3495734930038452
KWT,0.28001660108566284,0.21008063852787018,0.11237359791994095
LAO,-0.8050233125686646,-0.9871425628662109,-0.5951220393180847
LBN,-1.1026419401168823,-1.1325113773345947,-1.4586557149887085
