geo_id,prompt_edu,task_hours,autonomy,work_share,coursework_share,english_share,internet,tertiary
AND,12.071428298950195,3.5861427783966064,3.299999952316284,68.65671641791045,,,94.39759827,67.6767676767677
ARE,11.950553894042969,3.5423359870910645,3.3922224044799805,54.559505409582684,14.631633178773832,98.98921832884096,100.0,63.7384451086316
ATG,12.53125,4.576562404632568,3.375,100.0,,,72.73040009,
ALB,12.075987815856934,3.495288610458374,3.522796392440796,56.23100303951368,13.069908814589661,97.02970297029704,85.86389923,84.1496200561523
ARM,11.590994834899902,2.5251219272613525,3.412757873535156,45.96622889305816,19.136960600375236,91.52542372881356,81.33930206,52.7748065090859
AGO,10.226414680480955,3.961622476577759,3.6641509532928462,43.0188679245283,22.641509433962263,69.50354609929079,40.70479965,9.9549065722902
ARG,11.679204940795898,2.962716817855835,3.447766065597534,42.887647831800265,23.209592641261494,85.00791139240506,89.66715228,107.822574129434
AUT,12.104084014892578,2.6400563716888428,3.364295244216919,43.67588932806324,16.86429512516469,87.92756539235413,94.91974877,92.6126708984375
AUS,12.04371166229248,2.74928617477417,3.3097236156463623,43.92070769032092,14.366888357977661,99.59546925566343,96.13140106,108.421989440918
ABW,11.0,1.98199999332428,3.3333332538604736,,,,,14.0655418559377
AZE,11.415630340576172,3.330603837966919,3.483126163482666,42.34875444839858,21.35231316725979,93.26923076923076,90.43979645,41.3413783372226
BIH,11.89820384979248,2.4630839824676514,3.4670658111572266,55.38922155688623,12.574850299401197,95.78947368421052,86.10091103,45.5027618408203
BRB,11.88888931274414,4.168888568878174,3.382715940475464,44.44444444444445,29.629629629629626,100.0,70.36470032,53.5815662047086
BGD,11.493823051452637,3.3163211345672607,3.5662319660186768,39.67055593685656,28.9293067947838,99.20556107249257,53.42171316,23.7295608009814
BEL,12.008821487426758,2.409276247024536,3.344944477081299,45.42986425339367,14.23076923076923,80.1150895140665,95.77579144,82.1475601196289
BFA,11.968023300170898,3.5174710750579834,3.680232524871826,35.75581395348838,40.406976744186046,65.95744680851064,28.25270081,10.0419678526515
BGR,11.404095649719238,2.999180793762207,3.4000000953674316,48.19112627986348,11.0580204778157,98.48484848484847,82.438955,69.5460433959961
BHR,11.654804229736328,3.006441354751587,3.4804270267486572,43.41637010676156,25.622775800711743,99.1150442477876,100.0,58.3677241853667
BDI,11.068965911865234,2.240000009536743,3.724138021469116,100.0,,,8.595999718,6.02545976638794
BEN,11.891791343688965,4.0718302726745605,3.5858209133148193,47.76119402985074,24.44029850746269,69.23076923076923,33.98379898,10.2350101470947
BMU,11.0,2.3631579875946045,3.1052632331848145,,,,,17.3357105255127
BRN,12.235294342041016,3.211411714553833,3.4823529720306396,47.05882352941176,29.411764705882355,100.0,96.29828801,36.4182725443167
BOL,11.809895515441896,3.626822710037231,3.5475261211395264,28.33876221498372,50.87947882736157,89.91935483870968,79.70469666,
BRA,11.507427215576172,3.7718663215637207,3.4004781246185303,55.21901380384768,11.756820405057788,71.16526472043543,84.46347227,69.7317733764648
BHS,12.685185432434082,3.8792593479156494,3.518518447875977,56.09756097560976,,,92.47270203,
BTN,11.640625,2.366406202316284,3.328125,26.5625,40.625,100.0,91.27739716,13.011259392916
BWA,12.254437446594238,3.9056804180145264,3.461538553237915,30.76923076923077,39.64497041420118,100.0,57.45950036,21.4087908549348
BLZ,11.636363983154297,3.0024242401123047,3.5151515007019043,,,,80.00582262,24.8098643151325
CAN,12.189288139343262,2.7401623725891113,3.322000503540039,38.401960355314394,19.81796700651993,95.76202118989404,94.353302,76.2666931152344
COG,11.263513565063477,3.821418523788452,3.675675630569458,45.27027027027027,16.89189189189189,54.23728813559322,47.25159836,10.3812103271484
CHE,12.007259368896484,2.503704071044922,3.3352952003479004,46.58555729984302,12.107535321821038,80.31885651456845,97.3443985,73.5430526733398
CIV,11.669588088989258,4.1024627685546875,3.5872042179107666,37.68624014022787,36.19631901840491,66.189111747851,41.43219902,12.3354902267456
CHL,11.96805477142334,3.30997371673584,3.44671368598938,42.89080911233307,24.063891070960985,88.45861807137435,95.590243,110.176902770996
CMR,11.908560752868652,4.238745212554932,3.627431869506836,35.70038910505836,39.494163424124515,78.10810810810811,46.25880051,16.6614294830602
COL,11.976360321044922,3.4275341033935547,3.4594502449035645,40.49315688270558,36.296799004637485,89.33823529411765,79.34543299,59.2901382446289
CRI,11.899347305297852,4.231938362121582,3.4054055213928223,38.769804287045666,31.68685927306617,92.30769230769232,87.17019653,55.0202903747559
CPV,11.533333778381348,2.0477778911590576,3.288888931274414,100.0,,,74.73519897,24.2905954414767
CUW,13.074073791503906,3.122962951660156,3.3333332538604736,100.0,,,,
CYP,11.850090980529783,2.676892042160034,3.2760512828826904,54.47897623400365,7.678244972577697,94.77124183006535,89.60099246,120.87727355957
CZE,11.81613540649414,2.4813053607940674,3.3829638957977295,43.594182825484765,13.192520775623267,88.08030112923463,87.68776014,66.7282867431641
DEU,11.778071403503418,2.531214475631714,3.3581671714782715,41.48734925514306,13.777882872231414,88.28998617916824,93.49999579,76.7096862792969
DJI,11.279999732971191,3.4437999725341797,3.380000114440918,32.0,38.0,,65.29889679,
DNK,11.91166877746582,2.2173733711242676,3.3296141624450684,44.253140995812004,13.075849232201023,91.38349514563107,99.76915157,78.9604110717773
DOM,10.751839637756348,3.3707492351531982,3.493645429611206,33.7123745819398,37.7257525083612,91.5057915057915,91.0022446,57.6509476207267
DZA,11.789299011230469,3.5679261684417725,3.6328413486480713,29.81549815498155,40.59040590405904,88.78923766816143,77.4178009,54.4283410150344
ECU,11.76071834564209,3.139153480529785,3.3742756843566895,26.535341830822713,54.40324449594438,90.25974025974025,77.17273115,67.8851161961618
EST,11.854137420654297,2.3713886737823486,3.4347825050354004,40.53295932678822,11.781206171107996,94.94949494949496,92.23796204,65.6692276000977
EGY,11.921286582946776,3.469752550125122,3.5489912033081055,45.60829241680305,25.18639752682306,98.97130481862479,74.64839935,37.5781274463676
ESP,11.830365180969238,2.9741463661193848,3.3785030841827393,44.88680718188915,17.86246540344901,85.49243168861804,95.7574516,93.7689666748047
FIN,12.27896785736084,2.5231411457061768,3.369028091430664,40.25260845689182,16.639209225700164,94.11764705882352,93.72405196,110.304496765137
FJI,10.704917907714844,2.872950792312622,3.524590253829956,53.84615384615385,,,74.7052002,75.0089752283697
FRA,11.871027946472168,2.7619102001190186,3.4259798526763916,41.7334304442826,18.09243196715884,66.10651974288338,88.65381638,71.5346908569336
GAB,11.337278366088867,3.4854440689086914,3.745562076568603,30.76923076923077,41.42011834319527,,68.72090149,
GBR,12.22017765045166,2.7171263694763184,3.3270263671875,44.246115761701574,13.758509494804732,99.42614484104212,95.4720993,80.4146499633789
GEO,11.713659286499023,2.5000948905944824,3.3929874897003174,44.631117604090576,18.99196493791089,92.63157894736842,83.79855689,78.2652247393707
GF,11.190476417541504,3.4190478324890137,3.5238094329833984,,,,,
GHA,11.97930145263672,4.6748576164245605,3.5543336868286133,40.77669902912622,28.478964401294505,100.0,72.17569733,21.330810546875
GMB,12.30555534362793,5.109722137451172,3.3888888359069824,100.0,,,49.49430084,13.4765901565552
GIN,10.816091537475586,4.382298469543457,3.724138021469116,35.63218390804598,27.58620689655172,60.97560975609756,33.30469894,
GP,10.935065269470217,3.6528570652008057,3.49350643157959,53.125,,,,
GRC,12.37201690673828,2.8258070945739746,3.3795039653778076,46.70098268600842,15.86335985025737,93.631669535284,86.26968886,165.113418579102
GTM,11.784653663635254,3.257908582687378,3.4665842056274414,39.72772277227723,29.455445544554458,93.24894514767932,60.22140121,27.2948879201171
GUM,11.966666221618652,1.996666669845581,3.2666666507720947,,,,,
GUY,11.139534950256348,3.522325277328491,3.627907037734986,44.73684210526316,55.263157894736835,,83.00080109,26.4315792489043
HND,11.361323356628418,3.0900254249572754,3.435114622116089,35.87786259541985,33.33333333333333,96.66666666666669,58.62269974,23.3177890777588
HRV,11.74448299407959,2.6879444122314453,3.421602725982666,46.45760743321719,10.452961672473869,95.3405017921147,83.63240029,81.1775207519531
HTI,10.068965911865234,3.053908109664917,3.471264362335205,25.86206896551724,36.206896551724135,67.6056338028169,47.8614006,
HUN,11.660985946655272,2.59559965133667,3.3609251976013184,40.402193784277884,15.234613040828762,96.35416666666666,93.77898628,60.5168685913086
IDN,12.194177627563477,3.7049410343170166,3.5834097862243652,22.161515453639083,58.80757726819541,97.42552408973889,72.78075544,44.8813034886441
IRL,12.264615058898926,6.2592926025390625,3.3287911415100098,40.61538461538461,20.175824175824175,99.05277401894452,97.18769836,77.5933380126953
ISR,11.368182182312012,2.4733211994171143,3.3282828330993652,45.118100290514086,13.249968422382215,97.22488038277513,88.18242225,56.2561111450195
IMN,11.149999618530272,1.8760000467300415,3.5999999046325684,,,,,
IND,12.246807098388672,3.8138930797576904,3.601466417312622,51.31529112006334,20.86733464173811,99.92862241256245,64.9434967,34.4184659748952
IRQ,9.05627727508545,2.3045952320098877,3.4418675899505615,13.945578231292515,38.218923933209645,97.57085020242916,81.47450256,
ISL,11.566844940185549,2.2783422470092773,3.422459840774536,35.294117647058826,13.903743315508022,94.44444444444444,98.209198,76.5200729370117
ITA,11.62861156463623,2.7130844593048096,3.3707761764526367,44.92469695114485,16.052406024243908,86.37092463923037,89.2207202,75.9496536254883
JE,11.333333015441896,2.840909004211426,3.2727272510528564,,,,,
JAM,11.732483863830566,3.333184242248535,3.452229261398315,35.6687898089172,31.210191082802545,100.0,90.10870361,
JOR,11.795212745666504,3.1609575748443604,3.5039894580841064,44.680851063829785,23.404255319148938,98.73417721518987,95.62244985,35.9184001120427
JPN,11.949480056762695,2.799827337265014,3.3265888690948486,44.56859292460381,12.341924123579318,80.5901337021669,85.54153081,64.4907608032227
KEN,12.525888442993164,3.7305002212524414,3.475888252258301,42.182741116751274,32.08121827411167,99.72565157750344,34.97622513,10.4185962462804
KGZ,11.108235359191896,3.094399690628052,3.529411792755127,38.35294117647059,25.176470588235293,80.85106382978722,92.0286026,53.1743590503791
KHM,11.185639381408691,3.244063138961792,3.5744307041168213,49.036777583187394,14.711033274956216,97.22222222222221,68.47530365,21.4437426836662
COM,11.714285850524902,7.626191139221191,3.857142925262451,,,,32.51750183,
KOR,12.09174346923828,3.3480303287506104,3.2872819900512695,51.097465377580356,15.56049124640711,86.58430232558139,97.89563777,111.853302001953
KWT,10.909561157226562,3.3049612045288086,3.4031007289886475,38.50129198966408,17.05426356589147,99.17355371900828,99.74729919,51.8967176944636
CYM,12.489361763000488,2.843191623687744,3.3191490173339844,63.63636363636363,,100.0,,
KAZ,11.307411193847656,2.876309871673584,3.5041754245758057,34.65553235908142,26.98329853862213,82.13716108452951,93.39167254,53.4564204414133
LAO,10.463234901428224,3.261396884918213,3.382352828979492,47.05882352941176,20.588235294117645,97.22222222222221,65.59269714,14.8841695785522
LBN,12.073453903198242,3.285515546798706,3.5064432621002197,44.645161290322584,27.09677419354839,99.01960784313727,80.63400269,54.4012561547071
LCA,12.1304349899292,5.321739673614502,3.26086950302124,,,100.0,68.20500183,15.0396404266357
LIE,12.06666660308838,1.0199999809265137,3.133333444595337,,,,98.2641983,46.0189590454102
LKA,12.002508163452148,3.1546518802642822,3.607836961746216,44.576802507836994,30.846394984326018,100.0,54.59,20.7412633848006
LBR,10.979166984558104,3.7118752002716064,3.5833332538604736,100.0,,,32.23360062,
LSO,12.375,4.935250282287598,3.849999904632568,100.0,,,51.79660034,9.93844298033582
LTU,11.824528694152832,2.5128016471862793,3.375471591949463,43.39622641509434,15.0,95.86206896551724,89.16116293,75.6177368164062
LUX,12.414507865905762,2.6767876148223877,3.336787462234497,53.10880829015544,10.621761658031089,84.86842105263158,98.7606147,22.4103698730469
LVA,11.156765937805176,2.2069966793060303,3.3943893909454346,41.584158415841586,10.231023102310232,97.38562091503267,92.70757011,82.917350769043
MAR,11.617112159729004,3.445149183273315,3.5752999782562256,38.96204492641363,29.473276529821852,83.32184700206754,91.2,48.1839617510572
MCO,11.60869598388672,2.098478317260742,3.36956524848938,65.9090909090909,,,99.04489899,77.4806900024414
MDA,11.653465270996094,2.982161521911621,3.412541151046753,39.76897689768977,27.39273927392739,95.8904109589041,77.3687973,74.7109378669046
MNE,12.17391300201416,3.095869541168213,3.231884002685547,57.36434108527132,,96.42857142857144,88.88258428,55.1743011474609
MDG,12.027231216430664,3.3364450931549072,3.6081695556640625,52.64750378214826,20.574886535552196,71.54471544715447,18.67790031,6.1466638463036
MKD,12.253686904907228,2.5046017169952393,3.37463116645813,52.8023598820059,19.469026548672566,98.8095238095238,93.6,55.0082015991211
MNG,12.258993148803713,2.8032374382019043,3.525179862976074,38.1294964028777,38.1294964028777,94.76190476190476,85.12349701,69.044059753418
MQ,11.184210777282717,3.3480701446533203,3.236842155456543,35.08771929824561,21.929824561403507,,,
