iso3,HD.HCI.HLOS,HD.HCI.LAYS,HD.HCI.EYRS,SE.SEC.ENRR,SE.PRM.ENRR,SE.XPD.TOTL.GD.ZS
TUR,477.962646484375,9.22749519348145,12.06618309021,118.411979675293,102.43807220459,3.09571003913879
TUV,346.497955322266,5.99778366088867,10.8185768127441,90.6571654790182,101.138952164009,12.8456897735596
TZA,388.480163574219,4.48491764068604,7.21548700332642,28.231330871582,92.6902654262381,3.15504437906936
UGA,397.15966796875,4.33587217330933,6.82325077056885,,106.169578552246,2.56105027176925
UKR,478.17333984375,9.87451553344727,12.9065580368042,86.1695022583008,93.3063201904297,5.14010000228882
URY,437.696624755859,8.55120277404785,12.2105159759522,119.105005958635,104.532465643859,4.76461982727051
USA,511.798675537109,10.556770324707,12.8917512893677,97.4734878540039,96.9717330932617,5.42038011550903
UZB,474.075134277344,9.13336372375488,12.0410289764404,96.8399222342106,94.4316700664149,5.47287597270024
VCT,391.392700195313,7.71073007583618,12.3129692077637,124.871794871795,111.436840631127,6.4582691706334
VEN,,,,97.7908172607422,113.693878173828,
VGB,,,,75.5833129882812,72.7799911499023,3.17283855528435
VNM,519.100280761719,10.6805419921875,12.8594398498535,93.4123434096522,106.332886485835,2.88738689372749
VUT,347.685821533203,5.62425851821899,10.1101665496826,134.670675170038,112.491972007523,7.63695001602173
WLD,,,,77.2785720825195,102.159400939941,3.56927475138052
WSM,369.907897949219,7.24516868591309,12.2415075302124,87.3532286947715,101.043324329961,5.45616637544294
YEM,321.327026367188,4.17876148223877,8.12793731689453,43.6906890869141,76.9753799438477,
ZAF,342.763977050781,5.60340404510498,10.2173156738281,104.133480684239,101.772235793474,6.02110004425049
ZMB,358.140441894531,5.03629302978516,8.78896331787109,56.7889289855957,115.550919335782,4.07374933049157
ZWE,396.138824462891,7.00661039352417,11.054536819458,52.4158515930176,93.0772110334414,0.384771297211919
