geo_id,bachelors_plus,broadband,median_hh_income,log_gdp
AL,28.889669436722325,89.44956118437568,62212,11.4974612400688
AK,32.23518502020685,93.06380304278098,86631,11.922764916705635
AZ,33.51516255314787,92.31919763716309,77315,11.655546914204145
AR,26.176781086431205,88.3805361631509,58700,11.480746913675384
CA,37.487788587830714,94.19941114537596,95521,11.971942803168192
CO,46.43288724422466,94.49313726984043,92911,11.84787078980483
CT,42.90423692596884,92.56484373538171,91665,11.94802956214914
DE,36.46324240149735,92.77923931192483,81361,11.983740050796722
DC,65.94418525674078,92.13351540160096,108210,12.833789349305954
FL,34.91620625422075,92.91431501732802,73311,11.672464741347582
GA,35.41558613658026,92.37080791048395,74632,11.702372010109087
HI,36.99971802044498,92.61649166427077,95322,11.8195542619943
ID,32.14258361772653,92.81248806672812,74942,11.526051686209733
IL,38.27775836425594,91.64663888148337,80306,11.835734834592671
IN,30.214670951273792,90.8075158237325,69477,11.69112421239755
IA,31.549672848125365,89.93212153662424,71433,11.747294502190202
KS,35.81915826795321,91.62748035074138,70333,11.746536279190936
KY,27.84642492215848,90.05207695498983,61118,11.521436055464946
LA,26.991520493939042,88.010458499985,58229,11.637332720599437
ME,36.99449714274719,91.81995990812956,73733,11.633331199415847
MD,43.746985123,92.91324120492386,98678,11.81579957541326
MA,47.78163561635906,93.87993647946578,99858,12.02205146543397
MI,32.675642878506636,91.56976383273906,69183,11.606649986480592
MN,39.98924287879845,92.16756979942264,85086,11.822675419561337
MS,25.537093963225963,86.53422674279561,54203,11.347347425203626
MO,33.22479152029813,90.74182666861222,68545,11.6485870945269
MT,34.621691409759435,90.9228176210224,70804,11.587622888274131
NE,35.2863959805576,92.07127972241062,74590,11.904937242166904
NV,28.7207428548858,93.91059741892813,76364,11.720234567084
NH,40.74832802277478,93.85909923387996,96838,11.806319034582089
NJ,43.77591063603724,94.04675540779498,99781,11.838641003608895
NM,31.64805986443761,88.60445025566789,62268,11.570581320878922
NY,40.63985601889212,92.00143880341139,82095,12.09643906949629
NC,36.79334714470097,91.53061612427433,70804,11.68736901275125
ND,33.552305165709626,89.02203461525947,76525,11.928256132314363
OH,32.03405927936597,91.1706789221503,67769,11.725222893266267
OK,28.714199449341216,90.17579077531063,62138,11.53708941352069
OR,37.651929491014286,93.3018464084929,80160,11.697921784891763
PA,35.3433745436433,91.02178370533538,73824,11.72737580961952
RI,39.04662851417623,92.85958826974188,84972,11.644951188035462
SC,32.916376755022306,90.82628586700022,67804,11.533814458056227
SD,33.29997384312699,91.75320095414453,71810,11.796689065721246
TN,31.683342568999347,91.03538456320136,67631,11.683678753438203
TX,34.241614359098385,92.48309488488448,75780,11.790278360260846
UT,38.38698832001051,94.14769384142221,93421,11.777080641571123
VT,43.67210957973921,92.02645093915855,81211,11.622341208136167
VA,42.42534666348867,92.13470598089147,89931,11.820455572085569
WA,40.45106716381214,94.14761395753023,94605,12.015073495187858
WV,23.98939342560746,86.82797144870395,55948,11.491444141360278
WI,33.75427820114396,91.60538064121619,74631,11.688743077810114
WY,30.425922303412378,90.50766469389735,72415,11.880690958187454
