geo_id,automation_pct,expected_automation_pct,auto_resid,aui,log_gdp,coding_share,directive,bachelors_plus,broadband,median_hh_income,directive_resid,z_bachelors_plus,z_log_gdp,z_broadband,z_coding_share
AL,49.331103678929765,63.54760467047337,0.8442044735325496,0.3963800287006222,11.4974612400688,10.777957860615883,38.54515050167224,28.889669436722325,89.44956118437568,62212,-0.4771472969173871,-1.0280077144906268,-1.15559200717585,-1.3401973912696683,-0.47088769855098767
AR,46.18973561430793,67.67146979789625,-2.474994700193186,0.3559565309798594,11.480746913675384,5.135951661631419,36.70295489891135,26.176781086431205,88.3805361631509,58700,-2.4188470478839577,-1.4050320677136277,-1.2297184872045086,-1.9488165730631835,-1.347733321367901
AZ,48.157641781480294,53.92191226928835,0.08582587844740175,0.6980118332309821,11.655546914204145,17.215428033866417,37.74431272028196,33.51516255314787,92.31919763716309,77315,-1.0457281315659657,-0.38517862409675097,-0.4544967736146078,0.2935490180887587,0.5295840032428141
CA,50.351793287735035,49.95579916550845,2.451005842298052,2.126665498802744,11.971942803168192,21.982627825823094,42.327964501973476,37.487788587830714,94.19941114537596,95521,3.6336214224544037,0.1669180964197527,0.9486895105590726,1.3639954381871062,1.2704726381087792
CO,46.06274672761271,51.31147661392392,-1.8965008315257919,1.3043920503162054,11.84787078980483,18.932038834951456,36.83773114481612,46.43288724422466,94.49313726984043,92911,-1.8893228807640199,1.4100654729348816,0.3984416929552668,1.5312201055182142,0.7963690109024266
CT,45.18479958355023,58.248306040429426,-3.0735809570179953,0.8704291660918975,11.94802956214914,10.020345879959306,36.283185840707965,42.90423692596884,92.56484373538171,91665,-2.6112459438445867,0.9196703913061911,0.8426365149972804,0.4334006813709731,-0.5886310553647296
DC,43.48072562358277,53.53299424853633,-4.574319187078331,3.8194718815935618,12.833789349305954,7.012700165654334,36.11111111111111,65.94418525674078,92.13351540160096,108210,-2.669545593782196,4.121653110856183,4.770898631425324,0.1878360852409046,-1.056060704776858
DE,52.78450363196126,65.97980319962105,4.192722101697733,0.7215895102511056,11.983740050796722,3.3783783783783785,43.09927360774819,36.46324240149735,92.77923931192483,81361,4.018289640859649,0.024531527798903094,1.0010092044639314,0.555460743376182,-1.6208844640372893
FL,50.0,51.804258356470804,2.0195024918172066,0.694255522529669,11.672464741347582,24.56249352801077,39.31914893617021,34.91620625422075,92.91431501732802,73311,0.5802046508390006,-0.19046821694804628,-0.37946778672283965,0.6323622785792467,1.6714193702881803
GA,49.521178637200734,51.60015981717977,1.5494823551703831,0.7969123844249343,11.702372010109087,18.498563218390803,40.018416206261506,35.41558613658026,92.37080791048395,74632,1.2843965852135995,-0.12106676991135953,-0.24683183667732983,0.32293186853382544,0.7290009181400533
